,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
Category,carbonates,carbonates,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,sulfates,sulfates,sulfates,sulfates,sulfates,sulfates
Root Data ID,CAGR01 Calcite,F1CC06B Magnesite,HS433 Halite,LAZE03 Prehnite,bkr1jb329c Siliceous-sinter,GDS26 Epidote,GDS1 Analcime,NBPP22 Clinopyroxene,LAPP47B Orthopyroxene,LAPO05 Fayalite,LASC02 Forsterite,GDS27 Hematite,NCLS04 Plagioclase,LACL14 Chlorite,LAKA04 Kaolinite,LAIL02 Illite,GDS106 Margarite,c1cy29 Vermiculite,LALZ01 Serpentine,LAMO02 Montmorillonite,NCJB26 Nontronite,LASA58 Saponite,GDS23 Talc,F1CC08B Alunite,GDS145 Bassanite,LASF41A Gypsum,LASF21A Jarosite,F1CC15 Kieserite,799F366 Mg-sulphate
Sample ID,CAGR01,F1CC06B,HS433,LAZE03,bkr1jb329c,GDS26,GDS1,NBPP22,LAPP47B,LAPO05,LASC02,GDS27,NCLS04,LACL14,LAKA04,LAIL02,GDS106,CY-PLH-029,LALZ01,LAMO02,NCJB26,LASA58,GDS23,F1CC08B,GDS145,LASF41A,LASF21A,F1CC15,799F366
Species,calcite,magnesite,halite,prehnite,siliceous-sinter,epidote,analcime,clinopyroxene,orthopyroxene,fayalite,forsterite,hematite,plagioclase,chlorite,kaolinite,illite,margarite,vermiculite,serpentine,montmorillonite,nontronite,saponite,talc,alunite,bassanite,gypsum,jarosite,kieserite,mg-sulphate
Subgroup,calcites,calcites,chlorides,prehnites,hydrated-silicas,epidotes,zeolites,pyroxenes,pyroxenes,olivines,olivines,hematites,feldspars,chlorites,kaolinites,micas,micas,micas,serpentines,smectites,smectites,smectites,talcs,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates
Group,carbonates,carbonates,halides,inosilicates,mineraloids,sorosilicates,tectosilicates,inosilicates,inosilicates,nesosilicates,nesosilicates,oxides,tectosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,sulphates,sulphates,sulphates,sulphates,sulphates,sulphates
Library,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree
Sample Description,,,,,,,,,,,,,,,,,,"LLANO,TX",,,,,,,,,,,
Date Added,,,,,,,,,,,,,,,,,,19-Jul-90,,,,,,,,,,,
Viewing Geometry,,,,,,,,,,,,,,,,,,"i=30, e=0",,,,,,,,,,,
